model,seed,horizon,R2,RMSE
sa__concat@w10_5min,6,60,0.5602867679863035,37.48730989036642
sa__concat@w10_5min,7,60,0.5063548288238704,39.719791079919055
sa__concat@w10_5min,8,60,0.4545791833041605,41.75085403423596
sa__concat@w10_5min,9,60,0.5527879750001216,37.805609601962416
sa__concat@w10_5min,10,60,0.570987073579343,37.02837880084986
sa__concat@w10_5min,11,60,0.5684704961914664,37.1368236979696
sa__concat@w10_5min,12,60,0.5500025274709651,37.92316243092978
sa__concat@w10_5min,13,60,0.565656653735248,37.25770463042052
sa__concat@w10_5min,14,60,0.5959938174637984,35.93300307321254
sa__concat@w5_1min,0,60,0.5389153550346039,38.38750082148343
sa__concat@w5_1min,1,60,0.5433596402721613,38.20204886203539
sa__concat@w5_1min,2,60,0.5013398713773489,39.921038580128325
sa__concat@w5_1min,3,60,0.55202737506358,37.83774506202927
sa__concat@w5_1min,4,60,0.5693484591825236,37.09902633148965
