scenario,sim,comparison,ddR2,lo,hi,perm_p,holm_p,seed_pos_frac,verdict,ref_ddR2,ci_covers_ref
no_cgm,110,global_vs_premeal,-0.0012113450581598066,-0.002173707548045526,-0.0003574080104503389,0.013798620137986202,0.0413958604139586,0.0,NEGLIGIBLE,-1.2279994176884975e-05,False
no_cgm,110,global_vs_subz,-0.0025342566468929614,-0.006591583544657824,0.0015583976044327046,0.22397760223977603,0.44795520447955206,0.0,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,110,global_vs_subcenter,4.808626948631337e-05,-0.0009940095622819225,0.001175766126684005,0.932906709329067,0.932906709329067,0.5,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,111,global_vs_premeal,-0.0004773830347393309,-0.004048828283577268,0.002890147908250846,0.8013198680131987,0.8013198680131987,0.5,NEGLIGIBLE,-1.2279994176884975e-05,True
no_cgm,111,global_vs_subz,0.007447063654203478,0.0011006153420012252,0.01339232463369348,0.027597240275972403,0.0827917208279172,1.0,NEGLIGIBLE,1.974354172149378e-06,False
no_cgm,111,global_vs_subcenter,0.0018299753113025115,-0.0013359633295965824,0.004874840443352995,0.2655734426557344,0.5311468853114688,1.0,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,112,global_vs_premeal,-0.0035938542644814273,-0.008690211382268354,0.0008495271474909927,0.15208479152084792,0.45625437456254375,0.0,NEGLIGIBLE,-1.2279994176884975e-05,True
no_cgm,112,global_vs_subz,-0.0037164526254131365,-0.010611538381848295,0.003377781808594229,0.30796920307969206,0.48135186481351866,0.0,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,112,global_vs_subcenter,-0.003733043612303804,-0.009867167503384502,0.0021120574718641867,0.24067593240675933,0.48135186481351866,0.0,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,113,global_vs_premeal,-0.0018561444214913326,-0.0041391732797723445,3.928478133720782e-05,0.0781921807819218,0.23457654234576542,0.0,NEGLIGIBLE,-1.2279994176884975e-05,True
no_cgm,113,global_vs_subz,0.0023624399918321846,-0.00293997975686234,0.007724075949200892,0.39666033396660333,0.7933206679332067,0.75,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,113,global_vs_subcenter,-0.00045864062039629777,-0.002098443414945399,0.0008671061455547085,0.5767423257674232,0.7933206679332067,0.5,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,114,global_vs_premeal,-0.0023251857101827997,-0.008314475440995601,0.0024534608205149036,0.41415858414158585,1.0,0.25,NEGLIGIBLE,-1.2279994176884975e-05,True
no_cgm,114,global_vs_subz,0.0019971782775936,-0.007766279382461099,0.011836954752943102,0.7084291570842915,1.0,0.5,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,114,global_vs_subcenter,-0.0018850279595328911,-0.007662665735004243,0.003067628095125991,0.5150484951504849,1.0,0.5,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,115,global_vs_premeal,0.0001624054666163765,-0.001908128598815327,0.0021328976241074766,0.8814118588141185,0.8814118588141185,0.5,NEGLIGIBLE,-1.2279994176884975e-05,True
no_cgm,115,global_vs_subz,0.006846998987565925,-0.0008487524782789366,0.015097868138988725,0.10528947105289471,0.31586841315868414,1.0,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,115,global_vs_subcenter,0.0007214391772155413,-0.0007194131588686715,0.002368706743635744,0.40015998400159986,0.8003199680031997,0.75,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,116,global_vs_premeal,-0.0019544115294474213,-0.003822935601419278,-0.00015569662973071195,0.050294970502949704,0.1508849115088491,0.0,NEGLIGIBLE,-1.2279994176884975e-05,False
no_cgm,116,global_vs_subz,0.00020916648529190697,-0.006865789710337658,0.0074697439884504275,0.9561043895610439,0.9561043895610439,0.5,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,116,global_vs_subcenter,-0.0012370362319138724,-0.003150752987427706,0.00048237544608079584,0.19708029197080293,0.39416058394160586,0.0,NEGLIGIBLE,-1.4910008964005766e-06,True
