horizon,increment,kind,metric,arm,config,estimate,lo,hi,perm_p,seed_pos_frac,holm_p,verdict
120,CGM adds beyond context,increment,within_30,global,,3.1489594742606926,0.5681503921962943,6.00024783147458,,,,
120,CGM adds beyond context,level,within_30,subject_z,cgm_static,58.11883899233297,51.964075797702556,64.32872149172738,,,,
120,CGM adds beyond context,level,within_30,subject_z,static_all,58.32420591456735,52.51799865214974,64.20397198204189,,,,
120,CGM adds beyond context,increment,within_30,subject_z,,-0.2053669222343828,-1.8226655928432327,1.3903344115653316,,,,
120,CGM adds beyond context,interaction,within_30,global vs subject_z,,3.3543263964950754,0.9920443032145249,5.844574085496623,0.012098790120987902,1.0,,
120,CGM adds beyond context,level,clarke_A,global,cgm_static,62.527382256297926,57.979809511158926,66.69916890374598,,,,
120,CGM adds beyond context,level,clarke_A,global,static_all,58.03669222343921,52.98122064392216,63.04891246613905,,,,
120,CGM adds beyond context,increment,clarke_A,global,,4.490690032858716,1.6845552964968489,7.313021520083448,,,,
120,CGM adds beyond context,level,clarke_A,subject_z,cgm_static,58.43373493975903,53.18441815425155,63.56675538374352,,,,
120,CGM adds beyond context,level,clarke_A,subject_z,static_all,58.03669222343921,52.98122064392216,63.04891246613905,,,,
120,CGM adds beyond context,increment,clarke_A,subject_z,,0.3970427163198167,-1.402384056138177,2.200911789994955,,,,
120,CGM adds beyond context,interaction,clarke_A,global vs subject_z,,4.093647316538899,1.7186949823943665,6.783792681177248,0.0012998700129987,1.0,,
120,CGM adds beyond context,level,clarke_AB,global,cgm_static,97.53559693318729,95.96066177305171,98.84194602307616,,,,
120,CGM adds beyond context,level,clarke_AB,global,static_all,97.42606790799562,95.83313679245283,98.75490056758812,,,,
120,CGM adds beyond context,increment,clarke_AB,global,,0.10952902519167651,-0.174459547985591,0.422135136629537,,,,
120,CGM adds beyond context,level,clarke_AB,subject_z,cgm_static,97.26177437020812,95.61237802727666,98.6470825426945,,,,
120,CGM adds beyond context,level,clarke_AB,subject_z,static_all,97.42606790799562,95.83313679245283,98.75490056758812,,,,
120,CGM adds beyond context,increment,clarke_AB,subject_z,,-0.16429353778750055,-0.5080053377150332,0.15353371968688304,,,,
120,CGM adds beyond context,interaction,clarke_AB,global vs subject_z,,0.27382256297917706,-0.026600733164575983,0.6250340413943489,0.146985301469853,0.875,,
